CarNumber,Refund,Fines,Make,Model,Year
Y163O8161RUS,2.0,3200.0,Ford,Focus,1989
E432XX77RUS,1.0,6500.0,Toyota,Camry,1995
7184TT36RUS,1.0,2100.0,Ford,Focus,1984
X582HE161RUS,2.0,2000.0,Ford,Focus,2015
92918M178RUS,1.0,5700.0,Ford,Focus,2014
H234YH197RUS,2.0,6000.0,Ford,Focus,1990
E40577152RUS,1.0,8594.6,Ford,Focus,1988
707987163RUS,2.0,2200.0,Ford,Focus,2016
K330T8197RUS,2.0,8200.0,Skoda,Octavia,2018
X786CO96RUS,1.0,8594.6,Ford,Focus,2000
C477M7161RUS,1.0,2500.0,Ford,Focus,2000
O21997197RUS,1.0,2000.0,Ford,Focus,1992
M592CH197RUS,2.0,8594.6,Skoda,Octavia,1985
9020YC197RUS,2.0,145000.0,Skoda,Octavia,2018
8182XX154RUS,1.0,200.0,Ford,Focus,2017
7830C8197RUS,2.0,8594.6,Ford,Focus,1998
7066C8197RUS,2.0,15000.0,Volkswagen,Passat,1986
M298CH161RUS,2.0,8594.6,Ford,Focus,2014
E445TC197RUS,1.0,8594.6,Ford,Focus,1985
8440XX154RUS,1.0,6200.0,Ford,Focus,1996
9371CE154RUS,2.0,8594.6,Skoda,Octavia,2015
9182CE154RUS,2.0,19800.0,Ford,Focus,2007
83298C154RUS,2.0,8594.6,Ford,Focus,2013
Y7659C197RUS,2.0,8594.6,Ford,Focus,1992
C922YE197RUS,2.0,3800.0,Volkswagen,Golf,1998
7364C8197RUS,2.0,8594.6,Ford,Focus,1995
M5039X197RUS,2.0,7400.0,Volkswagen,,1986
8603T8154RUS,1.0,1500.0,Ford,Focus,2000
92928M178RUS,1.0,8594.6,Ford,Focus,2006
O672E8197RUS,2.0,63300.0,Skoda,Octavia,2008
E42277152RUS,2.0,10600.0,Ford,Focus,1989
C903MC161RUS,1.0,1600.0,Volkswagen,Jetta,1996
T7318T163RUS,2.0,12000.0,Toyota,Camry,1980
Y7719C197RUS,1.0,9200.0,Ford,Focus,1985
T011MY163RUS,1.0,2000.0,Ford,Focus,1985
H115YO163RUS,1.0,2200.0,Ford,Focus,2015
73467Y96RUS,1.0,800.0,Ford,Focus,1984
O134HE197RUS,1.0,8594.6,Ford,Focus,1992
H968HY161RUS,1.0,2400.0,Ford,Focus,2010
Y654E8750RUS,1.0,500.0,Skoda,Octavia,2010
H963HY161RUS,2.0,2800.0,Ford,Focus,1992
H232YH197RUS,2.0,8600.0,Ford,Focus,2018
7843C8197RUS,2.0,12300.0,Ford,Focus,2005
X791O796RUS,1.0,500.0,Ford,Focus,2012
H958HY161RUS,1.0,1800.0,Ford,Focus,2006
708587163RUS,2.0,1400.0,Ford,Focus,2012
Y973O8197RUS,2.0,8594.6,Ford,Focus,2005
97977H178RUS,1.0,1000.0,Ford,Focus,1995
H917TC36RUS,2.0,4000.0,Ford,Focus,1982
X786CO96RUS,1.0,1000.0,Ford,Focus,1987
Y7709C197RUS,1.0,500.0,Ford,Focus,2013
8513XX154RUS,1.0,1500.0,Ford,Focus,1988
T870X7163RUS,2.0,2000.0,Skoda,Octavia,2010
8818C877RUS,1.0,2500.0,Volkswagen,Passat,2004
T395OT197RUS,2.0,8594.6,Volkswagen,Touareg,2005
K327T8197RUS,2.0,20800.0,Volkswagen,Golf,1980
8311XX154RUS,2.0,8600.0,Ford,Focus,2005
X423MK197RUS,2.0,14300.0,Ford,Focus,2008
96429X178RUS,1.0,2600.0,Ford,Focus,1994
O275O7161RUS,2.0,16600.0,Ford,Focus,1985
7789KT197RUS,2.0,12600.0,Ford,Focus,1998
E28877161RUS,1.0,1000.0,Ford,Focus,2012
T6068M116RUS,1.0,1000.0,Ford,Focus,1984
9498KX178RUS,2.0,1600.0,Ford,Focus,2014
99209X178RUS,1.0,500.0,Skoda,Octavia,2012
T6449O50RUS,2.0,8594.6,Ford,Focus,1996
9683EC178RUS,2.0,26000.0,Ford,Focus,2015
Y353O8197RUS,2.0,21800.0,Ford,Focus,1981
O719MM163RUS,2.0,2300.0,Ford,Focus,1981
